id,timestamp,log_type,description,source_ip,destination_ip,threat_level
66,2024-12-21 01:42:36,phishing,Detected phishing activity from remote source.,192.168.225.51,10.0.145.226,8
67,2024-05-13 10:43:50,phishing,Detected phishing activity from remote source.,192.168.102.67,10.0.236.170,10
68,2024-12-02 12:25:47,phishing,Detected phishing activity from remote source.,192.168.235.218,10.0.82.85,9
69,2024-10-07 14:28:08,hack,Detected hack activity from remote source.,192.168.2.115,10.0.16.84,9
70,2024-07-18 15:23:32,malware,Detected malware activity from remote source.,192.168.0.236,10.0.182.211,8
71,2024-05-10 11:31:20,malicious,Detected malicious activity from remote source.,192.168.108.16,10.0.69.126,11
72,2024-10-24 04:12:40,hack,Detected hack activity from remote source.,192.168.21.48,10.0.135.97,8
73,2024-10-15 18:14:26,malware,Detected malware activity from remote source.,192.168.167.133,10.0.14.155,6
74,2024-12-23 06:05:53,hack,Detected hack activity from remote source.,192.168.216.39,10.0.44.220,13
75,2024-05-25 10:38:38,malware,Detected malware activity from remote source.,192.168.224.238,10.0.246.196,7
76,2025-01-19 07:39:54,suspicious,Detected suspicious activity from remote source.,192.168.35.10,10.0.88.252,10
77,2024-04-24 19:44:56,malware,Detected malware activity from remote source.,192.168.134.115,10.0.159.107,14
78,2024-06-23 09:13:35,malware,Detected malware activity from remote source.,192.168.24.18,10.0.215.228,13
79,2024-12-04 21:33:27,threat,Detected threat activity from remote source.,192.168.147.14,10.0.79.126,5
80,2025-02-26 21:14:30,hack,Detected hack activity from remote source.,192.168.80.133,10.0.130.15,14
81,2025-01-22 08:21:06,suspicious,Detected suspicious activity from remote source.,192.168.15.187,10.0.73.96,15
82,2024-10-28 08:34:35,suspicious,Detected suspicious activity from remote source.,192.168.185.42,10.0.151.176,14
83,2025-01-08 03:43:22,suspicious,Detected suspicious activity from remote source.,192.168.133.92,10.0.137.108,7
84,2025-02-25 23:32:40,hack,Detected hack activity from remote source.,192.168.225.207,10.0.44.108,9
85,2024-04-28 06:23:34,malicious,Detected malicious activity from remote source.,192.168.132.208,10.0.61.43,13
86,2024-05-24 04:28:14,malware,Detected malware activity from remote source.,192.168.196.210,10.0.227.7,9
87,2024-05-09 23:57:08,malicious,Detected malicious activity from remote source.,192.168.153.131,10.0.176.108,5
88,2024-11-30 14:35:12,malicious,Detected malicious activity from remote source.,192.168.8.249,10.0.134.154,13
89,2024-11-12 20:38:23,malware,Detected malware activity from remote source.,192.168.253.20,10.0.194.248,13
90,2025-03-24 01:06:28,phishing,Detected phishing activity from remote source.,192.168.80.46,10.0.248.140,9
91,2025-04-20 15:34:10,phishing,Detected phishing activity from remote source.,192.168.49.45,10.0.44.234,5
92,2024-04-09 09:16:39,suspicious,Detected suspicious activity from remote source.,192.168.84.101,10.0.145.25,12
93,2025-02-02 15:47:28,threat,Detected threat activity from remote source.,192.168.238.244,10.0.17.169,14
94,2024-06-23 20:44:19,suspicious,Detected suspicious activity from remote source.,192.168.126.243,10.0.189.183,11
95,2024-11-10 13:57:09,malware,Detected malware activity from remote source.,192.168.202.19,10.0.92.28,13
96,2025-03-22 23:34:59,threat,Detected threat activity from remote source.,192.168.129.95,10.0.255.209,9
97,2025-01-02 06:35:29,hack,Detected hack activity from remote source.,192.168.153.152,10.0.96.180,12
98,2024-04-10 00:18:42,phishing,Detected phishing activity from remote source.,192.168.15.51,10.0.165.6,12
99,2024-11-11 19:28:46,malicious,Detected malicious activity from remote source.,192.168.64.153,10.0.137.51,11
100,2024-08-13 07:57:45,malware,Detected malware activity from remote source.,192.168.102.233,10.0.188.32,9
101,2025-04-08 11:13:24,threat,Detected threat activity from remote source.,192.168.35.13,10.0.210.84,10
102,2024-06-12 17:20:27,phishing,Detected phishing activity from remote source.,192.168.219.209,10.0.190.93,10
103,2024-05-23 17:43:28,suspicious,Detected suspicious activity from remote source.,192.168.41.229,10.0.179.226,6
104,2024-09-23 12:11:48,malware,Detected malware activity from remote source.,192.168.57.165,10.0.115.100,15
105,2024-07-16 02:57:57,phishing,Detected phishing activity from remote source.,192.168.25.97,10.0.161.21,9
106,2024-07-20 09:04:07,phishing,Detected phishing activity from remote source.,192.168.154.243,10.0.99.145,13
107,2025-01-16 13:30:47,hack,Detected hack activity from remote source.,192.168.61.45,10.0.237.116,8
108,2025-02-27 10:46:37,hack,Detected hack activity from remote source.,192.168.202.110,10.0.235.251,11
109,2024-05-01 05:52:04,suspicious,Detected suspicious activity from remote source.,192.168.25.181,10.0.19.158,9
110,2024-11-12 20:28:37,threat,Detected threat activity from remote source.,192.168.75.18,10.0.153.132,9
111,2025-02-24 22:43:21,hack,Detected hack activity from remote source.,192.168.12.175,10.0.8.83,10
112,2024-04-09 21:27:30,malware,Detected malware activity from remote source.,192.168.55.196,10.0.108.21,5
113,2024-06-26 07:49:14,phishing,Detected phishing activity from remote source.,192.168.202.208,10.0.83.248,10
114,2025-03-08 17:11:34,malware,Detected malware activity from remote source.,192.168.102.7,10.0.154.110,5
115,2024-06-16 01:56:05,suspicious,Detected suspicious activity from remote source.,192.168.105.166,10.0.103.170,15
116,2024-12-23 20:17:37,suspicious,Detected suspicious activity from remote source.,192.168.12.223,10.0.11.99,8
117,2024-11-11 20:12:42,suspicious,Detected suspicious activity from remote source.,192.168.229.238,10.0.54.249,6
118,2024-07-07 18:10:29,phishing,Detected phishing activity from remote source.,192.168.199.25,10.0.81.87,9
119,2024-04-25 04:23:03,hack,Detected hack activity from remote source.,192.168.119.219,10.0.54.1,7
120,2025-04-27 07:06:39,phishing,Detected phishing activity from remote source.,192.168.24.23,10.0.176.209,6
121,2025-03-14 17:06:05,suspicious,Detected suspicious activity from remote source.,192.168.161.253,10.0.51.153,5
122,2025-01-03 22:33:21,malicious,Detected malicious activity from remote source.,192.168.69.116,10.0.151.34,5
123,2024-08-19 22:43:15,hack,Detected hack activity from remote source.,192.168.227.128,10.0.75.243,7
124,2024-11-04 19:40:46,hack,Detected hack activity from remote source.,192.168.237.29,10.0.250.67,15
125,2024-10-27 09:24:13,phishing,Detected phishing activity from remote source.,192.168.1.5,10.0.202.74,13
126,2024-07-29 17:12:15,hack,Detected hack activity from remote source.,192.168.133.153,10.0.154.249,13
127,2024-05-15 05:16:15,hack,Detected hack activity from remote source.,192.168.38.138,10.0.161.170,14
128,2024-06-14 10:13:42,malware,Detected malware activity from remote source.,192.168.50.111,10.0.86.146,13
129,2024-08-29 02:18:01,threat,Detected threat activity from remote source.,192.168.217.101,10.0.230.142,6
130,2024-09-29 14:40:51,hack,Detected hack activity from remote source.,192.168.89.152,10.0.48.162,15
131,2024-10-23 21:13:31,malware,Detected malware activity from remote source.,192.168.3.67,10.0.185.181,10
132,2024-10-07 05:52:44,threat,Detected threat activity from remote source.,192.168.232.106,10.0.119.30,7
133,2024-08-08 23:38:45,malware,Detected malware activity from remote source.,192.168.92.217,10.0.66.191,7
134,2024-05-31 04:41:10,malware,Detected malware activity from remote source.,192.168.233.93,10.0.181.142,11
135,2024-07-10 06:29:15,malware,Detected malware activity from remote source.,192.168.73.28,10.0.89.102,7
136,2024-08-14 00:50:17,hack,Detected hack activity from remote source.,192.168.204.166,10.0.185.147,14
137,2024-11-02 23:06:30,malicious,Detected malicious activity from remote source.,192.168.142.34,10.0.33.69,12
138,2025-01-24 06:53:19,phishing,Detected phishing activity from remote source.,192.168.227.54,10.0.131.216,15
139,2024-07-13 09:44:22,threat,Detected threat activity from remote source.,192.168.99.134,10.0.3.51,14
140,2024-11-26 23:41:09,phishing,Detected phishing activity from remote source.,192.168.27.254,10.0.178.157,6
141,2024-07-30 02:08:14,phishing,Detected phishing activity from remote source.,192.168.102.87,10.0.226.103,11
142,2024-11-24 10:02:34,threat,Detected threat activity from remote source.,192.168.90.200,10.0.252.20,10
143,2025-01-20 01:32:16,hack,Detected hack activity from remote source.,192.168.169.182,10.0.157.111,12
144,2024-10-29 23:56:33,hack,Detected hack activity from remote source.,192.168.80.218,10.0.65.154,10
145,2024-04-11 10:42:01,malicious,Detected malicious activity from remote source.,192.168.172.28,10.0.78.118,13
146,2025-05-14 17:26:33,hack,Detected hack activity from remote source.,192.168.59.6,10.0.237.75,6
147,2024-10-21 20:37:47,suspicious,Detected suspicious activity from remote source.,192.168.183.227,10.0.14.63,12
148,2024-08-21 22:37:39,malicious,Detected malicious activity from remote source.,192.168.202.126,10.0.215.131,14
149,2024-11-27 07:58:35,malicious,Detected malicious activity from remote source.,192.168.157.158,10.0.160.2,13
150,2024-07-26 10:31:51,threat,Detected threat activity from remote source.,192.168.85.81,10.0.115.69,9
151,2024-08-30 17:02:18,threat,Detected threat activity from remote source.,192.168.72.218,10.0.12.74,12
152,2024-07-18 14:45:46,malware,Detected malware activity from remote source.,192.168.180.12,10.0.129.228,13
153,2024-04-21 05:18:51,malware,Detected malware activity from remote source.,192.168.26.223,10.0.47.165,15
154,2024-10-01 01:42:06,threat,Detected threat activity from remote source.,192.168.186.125,10.0.164.94,13
155,2024-12-06 20:20:44,suspicious,Detected suspicious activity from remote source.,192.168.187.230,10.0.31.20,8
156,2025-05-02 17:07:29,malware,Detected malware activity from remote source.,192.168.65.89,10.0.7.230,6
157,2025-05-15 05:56:11,malicious,Detected malicious activity from remote source.,192.168.164.17,10.0.224.111,14
158,2024-09-25 02:37:07,malicious,Detected malicious activity from remote source.,192.168.58.88,10.0.137.24,15
159,2025-03-16 07:55:19,malicious,Detected malicious activity from remote source.,192.168.61.172,10.0.129.190,11
160,2025-04-22 13:15:04,hack,Detected hack activity from remote source.,192.168.50.7,10.0.149.242,5
161,2025-02-25 08:06:39,suspicious,Detected suspicious activity from remote source.,192.168.199.241,10.0.82.240,11
162,2025-03-10 10:17:58,hack,Detected hack activity from remote source.,192.168.24.155,10.0.246.104,11
163,2024-04-02 12:33:01,malicious,Detected malicious activity from remote source.,192.168.167.66,10.0.171.252,12
164,2024-05-16 15:11:34,suspicious,Detected suspicious activity from remote source.,192.168.33.155,10.0.34.162,13
165,2024-12-07 21:13:08,phishing,Detected phishing activity from remote source.,192.168.116.9,10.0.31.122,5
166,2024-07-05 10:41:45,suspicious,Detected suspicious activity from remote source.,192.168.79.28,10.0.254.41,7
167,2025-03-28 10:26:39,threat,Detected threat activity from remote source.,192.168.64.12,10.0.170.135,5
168,2024-08-21 20:38:07,threat,Detected threat activity from remote source.,192.168.207.206,10.0.152.4,12
169,2024-09-28 08:44:17,suspicious,Detected suspicious activity from remote source.,192.168.202.186,10.0.222.31,7
170,2024-11-16 00:55:19,malicious,Detected malicious activity from remote source.,192.168.77.218,10.0.231.40,12
171,2025-01-29 05:43:09,phishing,Detected phishing activity from remote source.,192.168.253.55,10.0.210.86,8
172,2025-01-26 16:16:48,malware,Detected malware activity from remote source.,192.168.32.118,10.0.35.126,11
173,2024-12-20 10:41:25,malware,Detected malware activity from remote source.,192.168.145.232,10.0.123.127,9
174,2024-07-31 11:49:32,hack,Detected hack activity from remote source.,192.168.150.227,10.0.22.186,6
175,2024-09-25 03:38:19,hack,Detected hack activity from remote source.,192.168.8.184,10.0.215.51,5
176,2024-11-13 06:29:23,suspicious,Detected suspicious activity from remote source.,192.168.107.17,10.0.195.122,11
177,2024-08-30 10:52:33,malware,Detected malware activity from remote source.,192.168.116.227,10.0.220.77,11
178,2024-12-08 17:43:32,phishing,Detected phishing activity from remote source.,192.168.218.12,10.0.149.13,6
179,2024-06-17 00:33:36,malware,Detected malware activity from remote source.,192.168.28.177,10.0.164.107,15
180,2025-02-19 21:39:23,suspicious,Detected suspicious activity from remote source.,192.168.156.250,10.0.204.30,14
181,2025-01-12 12:14:04,hack,Detected hack activity from remote source.,192.168.179.191,10.0.155.197,6
182,2025-03-01 16:22:53,malicious,Detected malicious activity from remote source.,192.168.105.241,10.0.139.87,15
183,2024-11-10 23:53:23,malicious,Detected malicious activity from remote source.,192.168.225.95,10.0.59.61,5
184,2024-05-08 14:59:38,phishing,Detected phishing activity from remote source.,192.168.255.221,10.0.244.205,15
185,2025-01-28 23:08:49,phishing,Detected phishing activity from remote source.,192.168.139.77,10.0.203.99,5
186,2025-02-18 15:41:42,suspicious,Detected suspicious activity from remote source.,192.168.238.52,10.0.114.116,14
187,2024-04-02 14:22:38,threat,Detected threat activity from remote source.,192.168.144.80,10.0.178.71,6
188,2025-01-31 14:01:31,phishing,Detected phishing activity from remote source.,192.168.49.79,10.0.115.246,5
189,2024-10-19 01:07:11,malicious,Detected malicious activity from remote source.,192.168.255.230,10.0.103.218,7
190,2024-05-31 23:59:44,phishing,Detected phishing activity from remote source.,192.168.147.178,10.0.3.199,15
191,2024-08-21 07:50:38,malicious,Detected malicious activity from remote source.,192.168.159.72,10.0.200.190,15
192,2024-05-26 02:49:22,threat,Detected threat activity from remote source.,192.168.201.34,10.0.169.148,7
193,2025-01-28 03:34:19,malware,Detected malware activity from remote source.,192.168.102.186,10.0.146.77,11
194,2024-08-28 17:07:08,malicious,Detected malicious activity from remote source.,192.168.122.90,10.0.40.25,7
195,2024-11-10 20:58:30,threat,Detected threat activity from remote source.,192.168.182.174,10.0.243.57,10
196,2024-04-17 04:29:08,hack,Detected hack activity from remote source.,192.168.130.239,10.0.243.138,6
197,2024-12-15 10:11:10,threat,Detected threat activity from remote source.,192.168.121.188,10.0.160.36,10
198,2024-09-23 00:02:00,suspicious,Detected suspicious activity from remote source.,192.168.86.139,10.0.82.127,6
199,2024-11-21 20:43:13,suspicious,Detected suspicious activity from remote source.,192.168.103.77,10.0.244.214,8
200,2025-04-03 20:47:41,suspicious,Detected suspicious activity from remote source.,192.168.242.107,10.0.101.49,8
