timestamp,log_type,indicator_type,indicator,description,threat_level,source,mitre_attack
2024-05-28T21:58:28Z,phishing,ip,192.168.32.160,Phishing activity detected,critical,Antivirus,T8892
2025-03-26T07:41:18Z,malware,ip,192.168.244.72,Malware activity detected,high,Endpoint,T9858
2024-11-17T09:15:05Z,hack,ip,192.168.85.107,Hack activity detected,high,SIEM,T7817
2024-11-25T15:31:15Z,hack,ip,192.168.36.114,Hack activity detected,high,Antivirus,T9119
2024-06-14T19:05:05Z,suspicious,ip,192.168.3.243,Suspicious activity detected,medium,WebProxy,T5504
2024-08-06T12:59:52Z,threat,ip,192.168.124.10,Threat activity detected,medium,SIEM,T5501
2025-01-04T16:09:26Z,threat,ip,192.168.109.40,Threat activity detected,critical,WebProxy,T3991
2025-05-03T13:50:32Z,malicious,ip,192.168.212.171,Malicious activity detected,critical,Antivirus,T8713
2024-12-21T22:55:06Z,hack,ip,192.168.202.11,Hack activity detected,medium,SIEM,T6572
2024-10-28T16:04:58Z,malware,ip,192.168.93.56,Malware activity detected,high,Endpoint,T6555
2024-04-30T06:28:28Z,malware,ip,192.168.60.12,Malware activity detected,critical,Endpoint,T3303
2024-07-21T22:58:02Z,malicious,ip,192.168.91.123,Malicious activity detected,medium,Firewall,T3022
2024-07-16T20:59:00Z,phishing,ip,192.168.97.51,Phishing activity detected,critical,Endpoint,T2773
2024-06-06T13:50:16Z,threat,ip,192.168.33.251,Threat activity detected,low,SIEM,T9901
2024-10-03T19:49:06Z,malicious,ip,192.168.53.141,Malicious activity detected,low,SIEM,T6062
2025-02-24T14:30:08Z,threat,ip,192.168.222.237,Threat activity detected,critical,Firewall,T7262
2025-04-04T18:58:18Z,threat,ip,192.168.43.228,Threat activity detected,high,IDS,T8116
2025-01-07T00:07:34Z,phishing,ip,192.168.59.167,Phishing activity detected,high,Antivirus,T8179
2025-02-03T00:14:58Z,threat,ip,192.168.53.169,Threat activity detected,critical,IDS,T8375
2025-01-22T17:22:32Z,phishing,ip,192.168.45.13,Phishing activity detected,high,IDS,T9143
2024-07-06T16:00:37Z,malicious,ip,192.168.134.142,Malicious activity detected,medium,Endpoint,T9540
2024-08-20T23:26:06Z,hack,ip,192.168.157.209,Hack activity detected,critical,Antivirus,T4227
2025-04-23T12:45:58Z,hack,ip,192.168.174.226,Hack activity detected,low,Firewall,T5553
2024-06-18T10:39:52Z,threat,ip,192.168.181.82,Threat activity detected,critical,IDS,T6376
2024-06-28T10:25:43Z,malicious,ip,192.168.157.50,Malicious activity detected,medium,Antivirus,T8403
2024-06-09T02:47:08Z,malware,ip,192.168.209.12,Malware activity detected,critical,SIEM,T7816
2024-09-16T04:52:39Z,malware,ip,192.168.78.125,Malware activity detected,high,SIEM,T6035
2025-04-09T01:58:17Z,hack,ip,192.168.209.127,Hack activity detected,low,SIEM,T3225
2024-08-22T05:02:33Z,malicious,ip,192.168.61.5,Malicious activity detected,high,WebProxy,T2505
2024-09-16T01:01:31Z,suspicious,ip,192.168.155.198,Suspicious activity detected,high,SIEM,T9490
2024-04-08T09:13:58Z,threat,ip,192.168.55.196,Threat activity detected,critical,Endpoint,T1233
2025-03-01T22:47:04Z,threat,ip,192.168.6.254,Threat activity detected,critical,IDS,T8058
2024-12-14T21:28:33Z,malicious,ip,192.168.207.31,Malicious activity detected,medium,Endpoint,T5618
2024-11-27T15:44:25Z,malicious,ip,192.168.154.23,Malicious activity detected,low,Firewall,T1608
2024-12-10T13:11:49Z,phishing,ip,192.168.221.153,Phishing activity detected,medium,SIEM,T9133
2024-05-08T04:40:41Z,malware,ip,192.168.67.93,Malware activity detected,critical,Firewall,T9555
2024-04-09T20:17:35Z,malicious,ip,192.168.126.26,Malicious activity detected,high,Antivirus,T9809
2024-11-27T17:18:09Z,suspicious,ip,192.168.13.68,Suspicious activity detected,low,Firewall,T6959
2025-03-01T15:19:21Z,hack,ip,192.168.132.95,Hack activity detected,medium,Antivirus,T6947
2025-04-07T04:18:14Z,threat,ip,192.168.14.93,Threat activity detected,medium,WebProxy,T2331
2024-11-20T10:48:50Z,hack,ip,192.168.42.252,Hack activity detected,low,WebProxy,T9333
2024-09-11T16:05:34Z,hack,ip,192.168.132.12,Hack activity detected,low,IDS,T8422
2025-02-21T00:23:46Z,hack,ip,192.168.95.19,Hack activity detected,medium,Firewall,T2796
2025-01-19T23:54:05Z,malicious,ip,192.168.202.90,Malicious activity detected,low,WebProxy,T2393
2025-01-08T19:41:54Z,hack,ip,192.168.107.202,Hack activity detected,high,WebProxy,T4650
2024-07-14T13:55:03Z,phishing,ip,192.168.212.244,Phishing activity detected,high,Antivirus,T9267
2025-01-07T19:29:55Z,hack,ip,192.168.193.105,Hack activity detected,medium,Firewall,T8650
2024-08-19T04:14:30Z,phishing,ip,192.168.97.194,Phishing activity detected,medium,IDS,T6154
2024-08-12T16:57:22Z,hack,ip,192.168.235.106,Hack activity detected,high,Endpoint,T2960
2025-04-03T15:16:46Z,phishing,ip,192.168.230.154,Phishing activity detected,critical,Endpoint,T2219
2025-02-05T05:35:57Z,threat,ip,192.168.208.74,Threat activity detected,low,WebProxy,T9928
2024-05-03T07:16:55Z,hack,ip,192.168.220.4,Hack activity detected,critical,IDS,T5182
2024-06-29T22:20:05Z,hack,ip,192.168.120.203,Hack activity detected,critical,WebProxy,T2389
2024-05-12T18:42:02Z,malware,ip,192.168.48.207,Malware activity detected,high,Antivirus,T6956
2025-03-14T16:56:37Z,hack,ip,192.168.197.119,Hack activity detected,medium,Antivirus,T8481
2024-04-15T07:59:45Z,suspicious,ip,192.168.136.103,Suspicious activity detected,medium,IDS,T9349
2024-09-19T17:23:49Z,hack,ip,192.168.44.140,Hack activity detected,critical,WebProxy,T2870
2024-10-02T13:28:52Z,phishing,ip,192.168.100.181,Phishing activity detected,high,Antivirus,T7240
2024-07-15T02:38:55Z,malware,ip,192.168.100.166,Malware activity detected,critical,Antivirus,T9083
2025-01-22T03:03:18Z,threat,ip,192.168.160.206,Threat activity detected,critical,Antivirus,T1263
2024-11-19T01:35:01Z,malware,ip,192.168.139.220,Malware activity detected,low,Antivirus,T9906
2024-12-16T10:54:13Z,suspicious,ip,192.168.239.34,Suspicious activity detected,medium,Antivirus,T7876
2024-05-19T06:27:33Z,hack,ip,192.168.215.34,Hack activity detected,low,SIEM,T9178
2024-10-05T14:43:42Z,malicious,ip,192.168.19.237,Malicious activity detected,critical,Endpoint,T2687
2024-04-28T06:07:57Z,phishing,ip,192.168.48.26,Phishing activity detected,medium,WebProxy,T5165
2024-07-15T15:31:36Z,malware,ip,192.168.145.66,Malware activity detected,high,Endpoint,T9161
2025-03-11T21:42:25Z,suspicious,ip,192.168.36.140,Suspicious activity detected,critical,WebProxy,T5553
2025-01-22T20:14:57Z,phishing,ip,192.168.93.95,Phishing activity detected,high,Antivirus,T6295
2025-02-20T23:14:57Z,hack,ip,192.168.77.149,Hack activity detected,high,Endpoint,T8665
2024-04-25T06:30:55Z,malware,ip,192.168.45.40,Malware activity detected,high,IDS,T3361
2024-08-24T19:53:47Z,hack,ip,192.168.116.118,Hack activity detected,high,Firewall,T7004
2025-02-01T15:36:47Z,malicious,ip,192.168.194.232,Malicious activity detected,low,Antivirus,T8722
2025-03-01T23:41:03Z,malicious,ip,192.168.228.89,Malicious activity detected,high,WebProxy,T2079
2025-03-12T15:54:57Z,phishing,ip,192.168.99.154,Phishing activity detected,low,WebProxy,T7899
2024-11-26T10:40:59Z,phishing,ip,192.168.13.82,Phishing activity detected,high,Firewall,T7030
2024-07-24T17:11:51Z,threat,ip,192.168.196.230,Threat activity detected,low,SIEM,T9382
2024-04-26T10:48:09Z,suspicious,ip,192.168.82.81,Suspicious activity detected,medium,IDS,T7679
2024-09-06T00:33:33Z,phishing,ip,192.168.69.201,Phishing activity detected,high,Endpoint,T3709
2024-09-21T04:56:58Z,threat,ip,192.168.171.41,Threat activity detected,medium,IDS,T7838
2024-12-17T13:06:51Z,malware,ip,192.168.185.78,Malware activity detected,medium,Endpoint,T5564
2025-03-19T21:07:50Z,phishing,ip,192.168.90.163,Phishing activity detected,low,SIEM,T1353
2024-05-11T16:57:03Z,threat,ip,192.168.200.222,Threat activity detected,high,Endpoint,T5076
2025-04-09T22:53:27Z,phishing,ip,192.168.134.192,Phishing activity detected,medium,WebProxy,T9705
2025-03-06T21:37:22Z,suspicious,ip,192.168.46.250,Suspicious activity detected,medium,Endpoint,T1945
2024-07-24T03:35:28Z,hack,ip,192.168.244.131,Hack activity detected,high,Firewall,T4818
2024-09-04T23:25:30Z,suspicious,ip,192.168.26.148,Suspicious activity detected,medium,Antivirus,T3291
2024-08-30T15:58:17Z,threat,ip,192.168.241.7,Threat activity detected,medium,SIEM,T4842
2024-09-11T02:04:00Z,threat,ip,192.168.30.109,Threat activity detected,high,IDS,T1692
2024-07-25T12:42:10Z,suspicious,ip,192.168.224.191,Suspicious activity detected,low,IDS,T9342
2024-04-29T04:36:27Z,threat,ip,192.168.131.106,Threat activity detected,medium,Antivirus,T8721
2024-10-18T23:48:08Z,phishing,ip,192.168.36.141,Phishing activity detected,low,IDS,T8385
2025-02-08T16:21:59Z,hack,ip,192.168.146.221,Hack activity detected,medium,Firewall,T6828
2024-04-28T02:34:51Z,threat,ip,192.168.106.111,Threat activity detected,medium,WebProxy,T2443
2024-05-26T18:24:20Z,malware,ip,192.168.241.141,Malware activity detected,medium,SIEM,T3258
2024-05-07T00:57:43Z,malware,ip,192.168.117.54,Malware activity detected,medium,WebProxy,T5117
2024-07-27T12:02:10Z,malicious,ip,192.168.97.236,Malicious activity detected,critical,SIEM,T4703
2024-10-16T22:13:19Z,threat,ip,192.168.78.208,Threat activity detected,low,Endpoint,T1751
2024-07-26T19:20:21Z,hack,ip,192.168.255.234,Hack activity detected,low,Antivirus,T3641
2025-01-29T17:12:25Z,phishing,ip,192.168.106.34,Phishing activity detected,medium,IDS,T4964
2025-01-02T00:51:53Z,threat,ip,192.168.13.2,Threat activity detected,medium,SIEM,T4715
2024-05-10T17:32:03Z,malware,ip,192.168.59.120,Malware activity detected,high,Firewall,T8043
2025-04-18T03:48:26Z,malicious,ip,192.168.134.159,Malicious activity detected,high,Firewall,T4091
2025-03-01T05:17:22Z,hack,ip,192.168.192.192,Hack activity detected,low,SIEM,T6553
2024-05-10T16:24:28Z,threat,ip,192.168.86.171,Threat activity detected,high,Firewall,T2466
2024-11-30T09:39:56Z,threat,ip,192.168.69.6,Threat activity detected,high,WebProxy,T1279
2024-05-12T18:27:22Z,threat,ip,192.168.99.27,Threat activity detected,medium,Endpoint,T7733
